sūtra ID,sūtra,laghuvṛtti
1.1.25,वृत्त्यन्तोऽसषे॥,"परार्थाभिधायी समासादिर्वृत्तिः, तस्या अन्तः अवसानं पदं न स्यात् असषे, सस्य तु षत्वे पदमेव। परमदिवौ बहुदण्डिनौ। असष इति किम्? दधिसेक्॥२५॥"
1.1.26,सविशेषणमाख्यातं वाक्यम्॥,"प्रयुज्यमानैरप्रयुज्यमानैर्वा विशेषणैः सहितं प्रयुज्यमानमप्रयुज्यमानं वा आख्यातं वाक्यं स्यात्। धर्मो वो रक्षतु, लुनीहि३ पृथुकांश्च खाद, शीलं ते स्वम्॥२६॥"
1.1.27,अधातुर्विभक्तिर्वाक्यमर्थवन्नाम॥,"धातु-विभक्त्यन्त-वाक्यवर्जमर्थवच्छब्दरूपं नाम स्यात्। वृक्षः, स्वः, धवश्च। अधातुविभक्तिवाक्यमिति किम्? अहन्, वृक्षान्, साधुः धर्मं ब्रूते॥२७॥"
1.1.28,शिर्घुट्॥,जस्-शसादेशः शिर्घुट् स्यात्। पद्मानि पयांसि॥२८॥
1.1.29,पुंस्त्रियोः स्यमौजस्॥,"स्यादयः पुं-स्त्रीलिङ्गयोर्घुटः स्युः। राजा, राजानम्, राजानौ, राजानः, सीमा, सीमानम्, सीमानौ, सीमानः॥२९॥"
1.1.30,स्वरादयोऽव्ययम्॥,"स्वरादयोऽव्ययानि स्युः। स्वः, अन्तः, इत्यादि॥३०॥"
1.1.31,चादयोऽसत्त्वे॥,सत्त्वे द्रव्ये वर्तमानाश्चादयोऽव्ययानि स्युः। वृक्षश्च इत्यादि॥३१॥
1.1.32,अधण्तस्वाद्याः शसः॥,"धण्वर्जास्तस्वादयः शस्पर्यन्ता ये प्रत्ययास्तदन्तं नाम अव्ययं स्यात्। देवा अर्जुनतोऽभवन्, ततः, तत्र, बहुशः। अधणिति किम्? पथि द्वैधानि॥३२॥"
1.1.33,विभक्तिथमन्ततसाद्याभाः॥,"विभक्त्यन्ताभाः थमवसानतसादिप्रत्ययान्ताभाश्चाऽव्ययानि स्युः। अहंयुः, अस्तिक्षीरा गौः, कुतः, कथम्॥३३॥"
1.1.34,वत्तस्याम्॥,"वत्-तसि-आम्प्रत्ययान्तमव्ययं स्यात्। मुनिवद् वृत्तम्, उरस्तः, उच्चैस्तराम्॥३४॥"
1.1.35,क्त्वातुमम्॥,"क्त्वा-तुम्-अम्प्रत्ययान्तमव्ययं स्यात्। कृत्वा, कर्तुम्, यावज्जीवमदात्॥३५॥"
1.1.36,गतिः॥,गतिसंज्ञकमव्ययं स्त्। अदःकृत्य। रः सो न स्यात्॥३६॥
1.1.37,अप्रयोगीत्॥,"इह शास्त्रे उपदेश्यमानो वर्णस्तत्समुदायो वा प्रयोगेऽदृश्यमान इत् स्यात्। एधते, यजते, चित्रीयते॥३७॥"
1.1.38,अनन्तः पञ्चम्याः प्रत्ययः॥,पञ्चम्यर्थाद् विहितोऽन्तशब्दानिर्दिष्टः प्रत्ययः स्यात्। नाम्नः प्रथमैकद्विबहौ॥२।२।३१॥ वृक्षः। अनन्त इति किम्? आगमः प्रत्ययो मा भूत्॥३८॥
1.1.39,डत्यतु सङ्ख्यावत्॥,"डत्यन्तम् अत्वन्तं च सङ्ख्याकार्यभाक् स्यात्। कतिकः, यावत्कः॥३९॥"
1.1.40,बहुगणं भेदे॥,"बहु-गणशब्दौ भेदवृत्ती सङ्ख्यावत् स्याताम्। बहुकः, गणकः। भेद इति किम्? वैपुल्ये सङ्घे च मा भूत्॥४०॥"
1.1.41,कसमासेऽध्यर्द्धः॥,अध्यर्द्धशब्दः  के समासे च विधेये सङ्ख्यावत् स्यत्। अध्यर्द्धकम्। अध्यर्द्धशूर्पम्॥४१॥
1.1.42,अर्धपूर्वपदपूरणः॥,"अर्द्धपूर्वपदः पूरणप्रत्ययान्तः समासः के समासे च कार्ये सङ्ख्यावत् स्यात्। अर्द्धपञ्चमकम्, अर्द्धपञ्चमशूर्पम्॥४२॥"
1.1.42.1,हरिरिव बलिबन्धकरस्त्रिशक्तियुक्पिनाकपाणीव। कमलाश्रयश्च विधिरिव जयति श्रीमूलराजनृपः॥,
1.2.1,समानानां तेन दीर्घः॥,समानानां तेन समानेन परेण सह दीर्घः स्यात्। दण्डाग्रम् दधीदम् नदीन्द्रः॥१॥
1.2.2,ऋऌति ह्रस्वो वा॥,"ऋति ऌति च परे समानानां ह्रस्वो वा स्यात्। बालऋश्यः, कॢऋषभः, होतृकारः। पक्षे बालर्श्यः इत्यादि॥२॥"
1.2.3,ऌत रृलॢ ऋऌभ्यां वा॥,"ऌत ऋता ऌता च सह यथासंख्यं रृलॢ इत्येतौ वा स्याताम्। ऋता क्रृकारः, पक्षे कॢऋकारः, कॄकारः। ऌता- क्लॢकारः, पक्षे कॣकारः, कॢऌकारः॥३॥"
1.2.4,ऋतो वा तौ च॥,"ऋत ऋऌभ्यां सह यथासंख्यं रृलॢ इत्येतौ वा स्याताम्, तौ च ऋकारऌकारौ ऋऌभ्यां सह वा स्याताम्। ऋता- पित्रृषभः, पक्षे पितॄषभः, पितृऋषभः। होतॢकार:, पक्षे होतृऌकार:, होतॄकारः। तौ च पितृषभः, होतॢकारः, पक्षे पूर्ववत्॥४॥"
1.2.5,ॠस्तयोः॥,"तयोः पूर्वस्थानिनोरॢकार-ऋकारयोर्यथासंख्यम् ऋलभ्यां सह ॠ इति दीर्घः स्यात्। ॠषभ:, होतॄकारः॥५॥"
1.2.6,अवर्णस्येवर्णादिनैदोदरल्॥,"अवर्णस्य इ-उ-ऋ-ऌवर्णैः सह यथासंख्यम् एत् ओत् अर् अल् इत्येते स्युः। देवेन्द्रः, तवेहा, मालेयम्, सेक्षते, तवोदकम्, तवोढा, गङ्गोदकम्, सोढा, तवर्षि:, तवर्कारः, महर्षिः, सर्कार:, तवल्कार:, सल्कारेण॥६॥"
1.2.7,ऋणे प्र-दशार्ण-वसन-कम्बल-वत्सर-वत्सतरस्याऽऽत्॥,"प्रादीनामवर्णस्य ऋणे परे ऋता सह आर् स्यात्। प्रार्णम्, दशार्णम्, ऋणार्णम्, वसनार्णम्, कम्बलार्णम्, वत्सरार्णम्, वत्सतरार्णम्॥७॥"
1.2.8,ऋते तृतीयासमासे॥,"अवर्णस्य ऋते परे तृतीयासमासे ऋता सह आर् स्यात्। शीतार्त्तः। तृतीयासमास इति किम्? परमर्त्तः, दुःखेनर्त्तः॥८॥"
1.2.9,ऋत्यारुपसर्गस्य॥,उपसर्गस्थस्यावर्णस्य ऋकारादौ धातौ परे ऋता सह आर् स्यात्। प्रार्च्छति पराच्छति॥९॥
1.2.10,नाम्नि वा॥,"उपसर्गस्थस्यावर्णस्य ऋकारादौ नामावयवे धातौ परे ऋता सह आर् वा स्यात्। प्रार्षभीयति, प्रर्षभीयति॥१०॥"
1.2.11,ऌत्याल् वा॥,"उपसर्गस्थस्यावर्णस्य ऌकारादौ नामावयवे धातौ परे ऌता सह आल् वा स्यात्। उपाल्कारीयति, उपल्कारीयति॥११॥"
